#TYPE Node
"HostName","MACAddress","IPv4Address","OpenPortsCurrent","OpenPortsBaseline","output"
"192.168.65.1","80-2a-a8-f1-5f-a7","192.168.65.1","22 23 68 79 80 443 4672 8008 ","22 23 68 79 80 443 4672 8008 ",""
"192.168.65.3","04-18-d6-d0-27-b0","192.168.65.3","22 80 ","22 80 ",""
"192.168.65.4","80-2a-a8-d0-8c-ef","192.168.65.4","22 69 80 3784 ","22 69 80 3784 ",""
"192.168.65.5","f0-9f-c2-61-06-ab","192.168.65.5","22 ","22 ",""
"192.168.65.6","10-8c-cf-ca-12-e2","192.168.65.6","80 443 4664 ","80 443 4664 ",""
"192.168.65.7","b4-e9-b0-66-d5-09","192.168.65.7","80 443 ","80 443 ",""
"MTBDC2016.ad.mtboxcomputers.com","00-15-5d-41-0c-05","192.168.65.10","80 443 3389 ","80 443 3389 ",""
"TS1.ad.mtboxcomputers.com","00-15-5d-41-0c-06","192.168.65.11","80 443 3389 ","80 443 3389 ",""
"MTBoxHV1","44-a8-42-02-e2-b0","192.168.65.12","3389 ","3389 ",""
"192.168.65.13","00-15-5d-ef-29-00","192.168.65.13","22 80 443 ","22 80 443 ",""
"SHADOWCONTROL","00-15-5d-41-88-02","192.168.65.14","22 25 80 443 ","22 25 80 443 ",""
"MTBApps.ad.mtboxcomputers.com","00-15-5d-41-28-07","192.168.65.16","80 3389 ","80 3389 ",""
"MTBOXNAS2","00-11-32-10-45-19","192.168.65.18","21 22 80 443 5000 5001 ","21 22 80 443 5000 5001 ",""
"MTBOXTS2.ad.mtboxcomputers.com","00-15-5d-41-0c-07","192.168.65.19","80 3389 ","80 3389 ",""
"TestSRV.ad.mtboxcomputers.com","00-25-64-fc-96-28","192.168.65.20","3389 ","3389 ",""
"192.168.65.22","b0-83-fe-e7-ff-10","192.168.65.22","22 ","22 ",""
"192.168.65.23","b0-83-fe-e8-e7-46","192.168.65.23","22 80 443 ","22 80 443 ",""
"192.168.65.24","f0-9f-c2-05-e7-2c","192.168.65.24","22 80 443 ","22 80 443 ",""
